path,sign,video_id,n_frames
train_landmark_files/69241.parquet,book,69241,75
train_landmark_files/07069.parquet,book,07069,30
train_landmark_files/07068.parquet,book,07068,68
train_landmark_files/07070.parquet,book,07070,86
train_landmark_files/07099.parquet,book,07099,87
train_landmark_files/07074.parquet,book,07074,38
train_landmark_files/69302.parquet,drink,69302,77
train_landmark_files/65539.parquet,drink,65539,44
train_landmark_files/17710.parquet,drink,17710,70
train_landmark_files/17733.parquet,drink,17733,93
train_landmark_files/65540.parquet,drink,65540,46
train_landmark_files/17734.parquet,drink,17734,89
train_landmark_files/17711.parquet,drink,17711,81
train_landmark_files/17712.parquet,drink,17712,43
train_landmark_files/17713.parquet,drink,17713,91
train_landmark_files/17709.parquet,drink,17709,105
train_landmark_files/17720.parquet,drink,17720,40
train_landmark_files/17721.parquet,drink,17721,48
train_landmark_files/17722.parquet,drink,17722,48
train_landmark_files/17723.parquet,drink,17723,59
train_landmark_files/17724.parquet,drink,17724,29
train_landmark_files/12328.parquet,computer,12328,88
train_landmark_files/12312.parquet,computer,12312,101
train_landmark_files/12311.parquet,computer,12311,72
train_landmark_files/12338.parquet,computer,12338,107
train_landmark_files/12313.parquet,computer,12313,81
train_landmark_files/12314.parquet,computer,12314,43
train_landmark_files/12315.parquet,computer,12315,57
train_landmark_files/12316.parquet,computer,12316,43
train_landmark_files/12317.parquet,computer,12317,53
train_landmark_files/12318.parquet,computer,12318,45
train_landmark_files/12319.parquet,computer,12319,40
train_landmark_files/12320.parquet,computer,12320,102
train_landmark_files/12326.parquet,computer,12326,73
train_landmark_files/12327.parquet,computer,12327,46
train_landmark_files/05728.parquet,before,05728,26
train_landmark_files/05749.parquet,before,05749,90
train_landmark_files/05750.parquet,before,05750,100
train_landmark_files/05729.parquet,before,05729,52
train_landmark_files/05730.parquet,before,05730,31
train_landmark_files/65167.parquet,before,65167,58
train_landmark_files/05731.parquet,before,05731,45
train_landmark_files/05732.parquet,before,05732,86
train_landmark_files/05733.parquet,before,05733,108
train_landmark_files/05734.parquet,before,05734,81
train_landmark_files/05727.parquet,before,05727,87
train_landmark_files/05739.parquet,before,05739,51
train_landmark_files/05740.parquet,before,05740,48
train_landmark_files/05741.parquet,before,05741,31
train_landmark_files/05742.parquet,before,05742,28
train_landmark_files/05743.parquet,before,05743,47
train_landmark_files/09848.parquet,chair,09848,96
train_landmark_files/09869.parquet,chair,09869,93
train_landmark_files/09849.parquet,chair,09849,81
train_landmark_files/09850.parquet,chair,09850,31
train_landmark_files/09851.parquet,chair,09851,92
train_landmark_files/65328.parquet,chair,65328,59
train_landmark_files/09854.parquet,chair,09854,30
train_landmark_files/69345.parquet,go,69345,67
train_landmark_files/24955.parquet,go,24955,60
train_landmark_files/24956.parquet,go,24956,45
train_landmark_files/24941.parquet,go,24941,66
train_landmark_files/24960.parquet,go,24960,45
train_landmark_files/24961.parquet,go,24961,45
train_landmark_files/24962.parquet,go,24962,42
train_landmark_files/65824.parquet,go,65824,41
train_landmark_files/24973.parquet,go,24973,108
train_landmark_files/24943.parquet,go,24943,61
train_landmark_files/24946.parquet,go,24946,33
train_landmark_files/24947.parquet,go,24947,63
train_landmark_files/24940.parquet,go,24940,88
train_landmark_files/24952.parquet,go,24952,33
train_landmark_files/24954.parquet,go,24954,60
train_landmark_files/11310.parquet,clothes,11310,89
train_landmark_files/11330.parquet,clothes,11330,83
train_landmark_files/11311.parquet,clothes,11311,93
train_landmark_files/11313.parquet,clothes,11313,35
train_landmark_files/11309.parquet,clothes,11309,67
train_landmark_files/69534.parquet,who,69534,63
train_landmark_files/63242.parquet,who,63242,86
train_landmark_files/63226.parquet,who,63226,67
train_landmark_files/63227.parquet,who,63227,36
train_landmark_files/63228.parquet,who,63228,40
train_landmark_files/63229.parquet,who,63229,47
train_landmark_files/63230.parquet,who,63230,61
train_landmark_files/63231.parquet,who,63231,93
train_landmark_files/66778.parquet,who,66778,58
train_landmark_files/63232.parquet,who,63232,155
train_landmark_files/66779.parquet,who,66779,54
train_landmark_files/63225.parquet,who,63225,111
train_landmark_files/63236.parquet,who,63236,45
train_landmark_files/63237.parquet,who,63237,45
train_landmark_files/08929.parquet,candy,08929,82
train_landmark_files/08916.parquet,candy,08916,88
train_landmark_files/08917.parquet,candy,08917,32
train_landmark_files/08918.parquet,candy,08918,30
train_landmark_files/08919.parquet,candy,08919,86
train_landmark_files/08920.parquet,candy,08920,75
train_landmark_files/08921.parquet,candy,08921,58
train_landmark_files/65298.parquet,candy,65298,59
train_landmark_files/08924.parquet,candy,08924,28
train_landmark_files/65299.parquet,candy,65299,62
train_landmark_files/65300.parquet,candy,65300,64
train_landmark_files/08915.parquet,candy,08915,94
train_landmark_files/08925.parquet,candy,08925,41
train_landmark_files/65415.parquet,cousin,65415,70
train_landmark_files/13647.parquet,cousin,13647,79
train_landmark_files/13648.parquet,cousin,13648,70
train_landmark_files/13631.parquet,cousin,13631,71
train_landmark_files/13632.parquet,cousin,13632,71
train_landmark_files/13633.parquet,cousin,13633,94
train_landmark_files/13634.parquet,cousin,13634,96
train_landmark_files/13635.parquet,cousin,13635,106
train_landmark_files/13636.parquet,cousin,13636,131
train_landmark_files/13630.parquet,cousin,13630,106
train_landmark_files/13640.parquet,cousin,13640,59
train_landmark_files/13641.parquet,cousin,13641,43
train_landmark_files/13642.parquet,cousin,13642,39
train_landmark_files/13646.parquet,cousin,13646,72
train_landmark_files/14882.parquet,deaf,14882,108
train_landmark_files/14903.parquet,deaf,14903,82
train_landmark_files/14883.parquet,deaf,14883,24
train_landmark_files/14884.parquet,deaf,14884,38
train_landmark_files/14885.parquet,deaf,14885,26
train_landmark_files/14886.parquet,deaf,14886,38
train_landmark_files/65445.parquet,deaf,65445,52
train_landmark_files/14887.parquet,deaf,14887,62
train_landmark_files/14888.parquet,deaf,14888,66
train_landmark_files/14893.parquet,deaf,14893,43
train_landmark_files/14894.parquet,deaf,14894,39
train_landmark_files/21870.parquet,fine,21870,65
train_landmark_files/21890.parquet,fine,21890,75
train_landmark_files/21891.parquet,fine,21891,77
train_landmark_files/21871.parquet,fine,21871,79
train_landmark_files/21872.parquet,fine,21872,77
train_landmark_files/21869.parquet,fine,21869,84
train_landmark_files/21874.parquet,fine,21874,90
train_landmark_files/21878.parquet,fine,21878,37
train_landmark_files/21883.parquet,fine,21883,32
train_landmark_files/69364.parquet,help,69364,75
train_landmark_files/27221.parquet,help,27221,77
train_landmark_files/27206.parquet,help,27206,71
train_landmark_files/27207.parquet,help,27207,58
train_landmark_files/27208.parquet,help,27208,68
train_landmark_files/27209.parquet,help,27209,59
train_landmark_files/65890.parquet,help,65890,59
train_landmark_files/27213.parquet,help,27213,49
